Subject,WhatId,WhoId,ActivityDate,Status,Priority,OwnerId,Description,Type
"Follow Up Call",,"","2025-05-01","Not Started","High","0052w00000H2ZzAA","Follow up call with the customer regarding the product inquiry.","Call"
"Email Client Reminder",,"","2025-05-02","Not Started","Normal","0052w00000H2ZzAB","Reminder email for pending document submission.","Email"
"Review Report",,"","2025-05-03","Not Started","High","0052w00000H2ZzAC","Review the financial report for the last quarter.","Review"
"Schedule Demo",,"","2025-05-04","Not Started","Normal","0052w00000H2ZzAD","Schedule a demo for the new software with the client.","Meeting"
"Product Feedback Call",,"","2025-05-05","Not Started","Low","0052w00000H2ZzAE","Call to gather feedback from the product user.","Call"
"Follow Up on Support Case",,"","2025-05-06","Not Started","High","0052w00000H2ZzAF","Follow up with support regarding case resolution.","Call"
"Confirm Appointment",,"","2025-05-07","Not Started","Normal","0052w00000H2ZzAG","Confirm the appointment with the client for next week.","Meeting"
"Send Thank You Email",,"","2025-05-08","Not Started","Normal","0052w00000H2ZzAH","Send a thank you email after the meeting.","Email"
"Quarterly Review",,"","2025-05-09","Not Started","High","0052w00000H2ZzAI","Review quarterly performance with the team.","Meeting"
"Send Weekly Updates",,"","2025-05-10","Not Started","Low","0052w00000H2ZzAJ","Send weekly project updates to the client.","Email"
"Team Standup",,"","2025-05-11","Not Started","Normal","0052w00000H2ZzAK","Daily team standup meeting to review progress.","Meeting"
"Product Launch Planning",,"","2025-05-12","Not Started","High","0052w00000H2ZzAL","Plan for the upcoming product launch event.","Meeting"
"Prepare Presentation",,"","2025-05-13","Not Started","High","0052w00000H2ZzAM","Prepare the presentation for the upcoming meeting.","Task"
"Follow Up on Invoice",,"","2025-05-14","Not Started","Normal","0052w00000H2ZzAN","Follow up with accounting regarding the pending invoice.","Call"
"Client Onboarding Call",,"","2025-05-15","Not Started","High","0052w00000H2ZzAO","Onboarding call with the new client to explain product features.","Call"
