Subject,StartDateTime,EndDateTime,Description,Location,OwnerId,ActivityType
"Team Meeting","2025-05-01 09:00:00","2025-05-01 10:00:00","Monthly team meeting in conference room 2","Conference Room 2","0051w00000Jd5cBAQ","Meeting"
"Client Call","2025-05-01 11:00:00","2025-05-01 12:00:00","Call with client XYZ to discuss project details","Phone","0051w00000Jd5cBAQ","Call"
"Product Demo","2025-05-01 14:00:00","2025-05-01 15:00:00","Product demonstration for potential clients","Office","0051w00000Jd5cBAQ","Meeting"
"Marketing Strategy Review","2025-05-02 09:00:00","2025-05-02 10:30:00","Review of upcoming marketing campaigns and strategies","Conference Room 3","0051w00000Jd5cBAQ","Meeting"
"Team Standup","2025-05-02 11:00:00","2025-05-02 11:15:00","Daily team standup meeting","Office","0051w00000Jd5cBAQ","Meeting"
"Client Follow-up","2025-05-02 15:00:00","2025-05-02 16:00:00","Follow-up on contract renewal with client ABC","Office","0051w00000Jd5cBAQ","Call"
"Product Launch Planning","2025-05-03 10:00:00","2025-05-03 12:00:00","Planning session for product launch event","Conference Room 1","0051w00000Jd5cBAQ","Meeting"
"Project Kickoff","2025-05-03 14:00:00","2025-05-03 16:00:00","Kickoff meeting for new project with team and stakeholders","Conference Room 2","0051w00000Jd5cBAQ","Meeting"
"Quarterly Review","2025-05-04 09:00:00","2025-05-04 11:00:00","Quarterly business review meeting with leadership","Office","0051w00000Jd5cBAQ","Meeting"
"Budget Planning","2025-05-04 13:00:00","2025-05-04 14:30:00","Planning session for next quarter's budget allocation","Conference Room 1","0051w00000Jd5cBAQ","Meeting"
"Sales Training","2025-05-05 09:00:00","2025-05-05 11:00:00","Sales team training session on new product features","Training Room 1","0051w00000Jd5cBAQ","Training"
"Internal Review","2025-05-05 13:00:00","2025-05-05 14:30:00","Internal review meeting for project XYZ","Conference Room 3","0051w00000Jd5cBAQ","Meeting"
"Networking Event","2025-05-06 18:00:00","2025-05-06 20:00:00","Industry networking event in downtown area","Downtown Event Hall","0051w00000Jd5cBAQ","Conference"
"Client Onboarding","2025-05-07 10:00:00","2025-05-07 11:00:00","Onboarding call for new client with customer support team","Phone","0051w00000Jd5cBAQ","Call"
"Executive Meeting","2025-05-08 09:00:00","2025-05-08 11:00:00","Meeting with executives to discuss company strategy","Board Room","0051w00000Jd5cBAQ","Meeting"
